Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-04-22 23:07:26,,UTC-04:00,49,70,47,32.30,96.18,,,,,2024-04-22 23:07:26,2024-04-23 07:33:34,89,14.0,434,506,164,97,173,72,487,0,86,79
2024-04-21 22:51:03,2024-04-22 23:07:26,UTC-04:00,86,65,67,33.30,96.18,13.5,1956,164,82,2024-04-21 22:51:03,2024-04-22 08:41:47,100,13.8,554,588,270,126,158,34,506,19,94,77
2024-04-20 22:24:05,2024-04-21 22:51:03,UTC-04:00,96,62,80,35.10,95.97,13.6,1873,178,81,2024-04-20 22:24:05,2024-04-21 06:44:56,94,13.9,463,500,251,80,132,37,493,25,92,74
2024-04-19 22:49:03,2024-04-20 22:24:05,UTC-04:00,78,68,56,34.90,97.50,8.4,1541,139,81,2024-04-19 22:49:03,2024-04-20 06:40:34,92,14.9,440,467,234,80,126,27,480,0,94,74
2024-04-18 23:12:04,2024-04-19 22:49:03,UTC-04:00,73,70,55,33.00,98.40,12.2,1771,164,80,2024-04-18 23:12:04,2024-04-19 09:04:43,100,14.9,531,580,294,88,149,49,529,44,92,72
2024-04-18 00:04:48,2024-04-18 23:12:04,UTC-04:00,40,72,39,33.20,96.95,13.1,1863,175,79,2024-04-18 00:04:48,2024-04-18 07:57:17,83,14.1,429,472,235,86,108,43,518,41,93,68
2024-04-16 22:51:42,2024-04-18 00:04:48,UTC-04:00,79,68,63,34.10,95.25,11.5,1821,159,83,2024-04-16 22:51:42,2024-04-17 06:31:13,83,14.7,418,458,232,57,129,40,501,0,95,77
2024-04-15 21:48:42,2024-04-16 22:51:42,UTC-04:00,69,70,52,34.30,95.27,15.7,2081,187,82,2024-04-15 21:48:42,2024-04-16 07:29:49,100,15.0,518,577,377,94,47,59,508,0,90,81
2024-04-14 22:10:46,2024-04-15 21:48:42,UTC-04:00,71,70,54,33.70,95.79,16.7,2138,184,84,2024-04-14 22:10:46,2024-04-15 08:31:46,100,14.1,550,619,305,101,144,69,495,28,88,76
2024-04-13 21:50:59,2024-04-14 22:10:46,UTC-04:00,96,65,80,32.20,95.07,8.2,1589,159,78,2024-04-13 21:50:59,2024-04-14 06:29:37,91,13.4,455,518,228,90,137,63,499,33,88,72
2024-04-12 21:42:47,2024-04-13 21:50:59,UTC-04:00,67,68,48,32.00,94.77,7.9,1562,148,80,2024-04-12 21:42:47,2024-04-13 06:42:05,90,13.5,446,535,249,49,148,89,497,6,83,70
2024-04-11 22:53:24,2024-04-12 21:42:47,UTC-04:00,36,71,35,33.50,96.13,14.3,1849,186,80,2024-04-11 22:53:24,2024-04-12 08:52:47,98,13.3,493,595,230,114,149,102,502,21,82,70
2024-04-10 22:55:16,2024-04-11 22:53:24,UTC-04:00,73,71,51,33.40,94.89,12.4,1797,171,79,2024-04-10 22:55:16,2024-04-11 07:50:15,93,13.7,432,529,273,65,94,97,465,0,83,58
