Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-04-21 22:51:03,2024-04-22 23:07:26,UTC-04:00,2024-04-22 11:36:00,2024-04-22 12:52:29,76,Box Fitness,9.2,268.0,164,120,27,42,17,10,0,false,,,
2024-04-20 22:24:05,2024-04-21 22:51:03,UTC-04:00,2024-04-21 15:01:49,2024-04-21 15:36:26,34,Running,11.5,278.0,178,151,0,2,34,62,2,true,5617.89,184.12,6.87
2024-04-18 23:12:04,2024-04-19 22:49:03,UTC-04:00,2024-04-19 17:10:30,2024-04-19 18:05:59,55,Box Fitness,8.1,218.0,164,123,14,36,39,6,0,false,,,
2024-04-18 00:04:48,2024-04-18 23:12:04,UTC-04:00,2024-04-18 17:01:30,2024-04-18 19:08:59,127,Box Fitness,12.1,508.0,175,124,14,51,28,6,0,false,,,
2024-04-16 22:51:42,2024-04-18 00:04:48,UTC-04:00,2024-04-17 08:34:30,2024-04-17 09:34:29,59,Box Fitness,8.2,221.0,159,122,23,44,28,5,0,false,,,
2024-04-15 21:48:42,2024-04-16 22:51:42,UTC-04:00,2024-04-16 18:06:00,2024-04-16 18:52:29,46,Box Fitness,8.4,218.0,162,129,7,49,34,10,0,false,,,
2024-04-15 21:48:42,2024-04-16 22:51:42,UTC-04:00,2024-04-16 17:27:00,2024-04-16 17:53:59,26,Running,13.0,248.0,187,158,1,10,20,17,52,false,,,
2024-04-15 21:48:42,2024-04-16 22:51:42,UTC-04:00,2024-04-16 16:51:00,2024-04-16 17:10:29,19,Walking,4.5,39.0,135,110,42,58,0,0,0,false,,,
2024-04-15 21:48:42,2024-04-16 22:51:42,UTC-04:00,2024-04-16 15:49:30,2024-04-16 16:16:29,26,Walking,5.0,66.0,135,114,29,70,1,0,0,false,,,
2024-04-14 22:10:46,2024-04-15 21:48:42,UTC-04:00,2024-04-15 18:03:00,2024-04-15 18:35:59,32,Running,14.0,323.0,184,162,0,5,10,35,50,false,,,
